Student_ID,Major,AREA_OF_STUDY,Required_Courses,Total_Taken_Courses,Remaining_Courses,Student_Progress
STU0023,Computer Engineering,EB,6,4,2,66.66666666666666
STU0023,Computer Engineering,CR,0,0,0,0
STU0023,Computer Engineering,FE,0,0,0,0
STU0023,Computer Engineering,MFU,0,0,0,0
STU0023,Computer Engineering,EFU,0,0,0,0
STU0041,Computer Engineering,GE,22,16,6,72.72727272727273
STU0041,Computer Engineering,MR,21,3,18,14.285714285714285
STU0041,Computer Engineering,ME,3,0,3,0
STU0041,Computer Engineering,EB,6,4,2,66.66666666666666
STU0041,Computer Engineering,CR,0,0,0,0
STU0041,Computer Engineering,FE,0,0,0,0
STU0041,Computer Engineering,MFU,0,1,0,100
STU0041,Computer Engineering,EFU,0,0,0,0
STU0024,Electrical Engineering,GE,23,7,16,30.434782608695656
STU0024,Electrical Engineering,MR,15,0,15,0
STU0024,Electrical Engineering,ME,5,0,5,0
STU0024,Electrical Engineering,EB,7,4,3,57.14285714285714
STU0024,Electrical Engineering,CR,0,0,0,0
STU0024,Electrical Engineering,FE,0,0,0,0
STU0024,Electrical Engineering,MFU,0,1,0,100
STU0024,Electrical Engineering,EFU,0,1,0,100
STU0042,Electrical Engineering,GE,23,13,10,56.52173913043478
STU0042,Electrical Engineering,MR,15,0,15,0
STU0042,Electrical Engineering,ME,5,0,5,0
STU0042,Electrical Engineering,EB,7,4,3,57.14285714285714
STU0042,Electrical Engineering,CR,0,0,0,0
STU0042,Electrical Engineering,FE,0,0,0,0
STU0042,Electrical Engineering,MFU,0,2,0,100
STU0042,Electrical Engineering,EFU,0,1,0,100
STU0039,Electrical Engineering,GE,23,11,12,47.82608695652174
STU0039,Electrical Engineering,MR,15,0,15,0
STU0039,Electrical Engineering,ME,5,0,5,0
STU0039,Electrical Engineering,EB,7,2,5,28.57142857142857
STU0039,Electrical Engineering,CR,0,0,0,0
STU0039,Electrical Engineering,FE,0,0,0,0
STU0039,Electrical Engineering,MFU,0,2,0,100
STU0039,Electrical Engineering,EFU,0,1,0,100
STU0043,Engineering Management,GE,24,0,24,0
STU0043,Engineering Management,MR,10,0,10,0
STU0043,Engineering Management,ME,5,0,5,0
STU0043,Engineering Management,EB,8,0,8,0
STU0043,Engineering Management,CR,0,0,0,0
STU0043,Engineering Management,FE,0,0,0,0
STU0043,Engineering Management,MFU,0,2,0,100
STU0043,Engineering Management,EFU,0,1,0,100
STU0047,Engineering Management,GE,24,1,23,4.166666666666666
STU0047,Engineering Management,MR,10,0,10,0
STU0047,Engineering Management,ME,5,0,5,0
STU0047,Engineering Management,EB,8,0,8,0
STU0047,Engineering Management,CR,0,0,0,0
STU0047,Engineering Management,FE,0,0,0,0
STU0047,Engineering Management,MFU,0,0,0,0
STU0047,Engineering Management,EFU,0,0,0,0
STU0001,English Education,GE,14,13,1,92.85714285714286
STU0001,English Education,MR,5,20,0,100
STU0001,English Education,ME,0,6,0,100
STU0001,English Education,EB,0,0,0,0
STU0001,English Education,CR,0,0,0,0
STU0001,English Education,FE,0,0,0,0
STU0001,English Education,MFU,0,1,0,100
STU0001,English Education,EFU,0,1,0,100
STU0027,English Education,GE,14,13,1,92.85714285714286
STU0027,English Education,MR,5,20,0,100
STU0027,English Education,ME,0,6,0,100
STU0027,English Education,EB,0,0,0,0
STU0027,English Education,CR,0,0,0,0
STU0027,English Education,FE,0,0,0,0
STU0027,English Education,MFU,0,1,0,100
STU0027,English Education,EFU,0,1,0,100
STU0032,English Education,GE,14,13,1,92.85714285714286
STU0032,English Education,MR,5,20,0,100
STU0032,English Education,ME,0,6,0,100
STU0032,English Education,EB,0,0,0,0
STU0032,English Education,CR,0,0,0,0
STU0032,English Education,FE,0,0,0,0
STU0032,English Education,MFU,0,1,0,100
STU0032,English Education,EFU,0,1,0,100
STU0004,Eng- Linguistics - Translation,GE,14,17,0,100
STU0004,Eng- Linguistics - Translation,MR,7,17,0,100
STU0004,Eng- Linguistics - Translation,ME,0,0,0,0
STU0004,Eng- Linguistics - Translation,EB,0,0,0,0
STU0004,Eng- Linguistics - Translation,CR,0,0,0,0
STU0004,Eng- Linguistics - Translation,FE,3,0,3,0
STU0004,Eng- Linguistics - Translation,MFU,0,0,0,0
STU0004,Eng- Linguistics - Translation,EFU,0,0,0,0
STU0028,Eng- Linguistics - Translation,GE,14,16,0,100
STU0028,Eng- Linguistics - Translation,MR,7,15,0,100
STU0028,Eng- Linguistics - Translation,ME,0,1,0,100
STU0028,Eng- Linguistics - Translation,EB,0,0,0,0
STU0028,Eng- Linguistics - Translation,CR,0,0,0,0
STU0028,Eng- Linguistics - Translation,FE,3,0,3,0
STU0028,Eng- Linguistics - Translation,MFU,0,1,0,100
STU0028,Eng- Linguistics - Translation,EFU,0,0,0,0
STU0031,Eng- Linguistics - Translation,GE,14,15,0,100
STU0031,Eng- Linguistics - Translation,MR,7,20,0,100
STU0031,Eng- Linguistics - Translation,ME,0,0,0,0
STU0031,Eng- Linguistics - Translation,EB,0,0,0,0
STU0031,Eng- Linguistics - Translation,CR,0,0,0,0
STU0031,Eng- Linguistics - Translation,FE,3,0,3,0
STU0031,Eng- Linguistics - Translation,MFU,0,1,0,100
STU0031,Eng- Linguistics - Translation,EFU,0,1,0,100
STU0007,English Literature,GE,14,16,0,100
STU0007,English Literature,MR,6,5,1,83.33333333333334
STU0007,English Literature,ME,0,11,0,100
STU0007,English Literature,EB,0,0,0,0
STU0007,English Literature,CR,0,0,0,0
STU0007,English Literature,FE,5,0,5,0
STU0007,English Literature,MFU,0,1,0,100
STU0007,English Literature,EFU,0,0,0,0
STU0029,English Literature,GE,14,11,3,78.57142857142857
STU0029,English Literature,MR,6,6,0,100
STU0029,English Literature,ME,0,11,0,100
STU0029,English Literature,EB,0,0,0,0
STU0029,English Literature,CR,0,0,0,0
STU0029,English Literature,FE,5,0,5,0
STU0029,English Literature,MFU,0,0,0,0
STU0029,English Literature,EFU,0,0,0,0
STU0030,English Literature,GE,14,8,6,57.14285714285714
STU0030,English Literature,MR,6,5,1,83.33333333333334
STU0030,English Literature,ME,0,9,0,100
STU0030,English Literature,EB,0,0,0,0
STU0030,English Literature,CR,0,0,0,0
STU0030,English Literature,FE,5,0,5,0
STU0030,English Literature,MFU,0,1,0,100
STU0030,English Literature,EFU,0,0,0,0
STU0026,Finance,GE,14,14,0,100
STU0026,Finance,MR,7,1,6,14.285714285714285
STU0026,Finance,ME,5,1,4,20
STU0026,Finance,EB,0,0,0,0
STU0026,Finance,CR,11,7,4,63.63636363636363
STU0026,Finance,FE,3,0,3,0
STU0026,Finance,MFU,0,2,0,100
STU0026,Finance,EFU,0,1,0,100
STU0005,Finance,GE,14,15,0,100
STU0005,Finance,MR,7,4,3,57.14285714285714
STU0005,Finance,ME,5,0,5,0
STU0005,Finance,EB,0,0,0,0
STU0005,Finance,CR,11,5,6,45.45454545454545
STU0005,Finance,FE,3,0,3,0
STU0005,Finance,MFU,0,1,0,100
STU0005,Finance,EFU,0,0,0,0
STU0006,Finance,GE,14,17,0,100
STU0006,Finance,MR,7,6,1,85.71428571428571
STU0006,Finance,ME,5,3,2,60
STU0006,Finance,EB,0,0,0,0
STU0006,Finance,CR,11,10,1,90.90909091
STU0006,Finance,FE,3,0,3,0
STU0006,Finance,MFU,0,1,0,100
STU0006,Finance,EFU,0,0,0,0
STU0045,Digital Media Production,GE,14,9,5,64.28571428571429
STU0045,Digital Media Production,MR,10,3,7,30
STU0045,Digital Media Production,ME,6,1,5,16.666666666666664
STU0045,Digital Media Production,EB,0,0,0,0
STU0045,Digital Media Production,CR,5,1,4,20
STU0045,Digital Media Production,FE,5,0,5,0
STU0045,Digital Media Production,MFU,0,1,0,100
STU0045,Digital Media Production,EFU,0,0,0,0
STU0044,Digital Media Production,GE,14,8,6,57.14285714285714
STU0044,Digital Media Production,MR,10,2,8,20
STU0044,Digital Media Production,ME,6,1,5,16.666666666666664
STU0044,Digital Media Production,EB,0,0,0,0
STU0044,Digital Media Production,CR,5,1,4,20
STU0044,Digital Media Production,FE,5,0,5,0
STU0044,Digital Media Production,MFU,0,1,0,100
STU0044,Digital Media Production,EFU,0,0,0,0
STU0046,Digital Media Production,GE,14,8,6,57.14285714285714
STU0046,Digital Media Production,MR,10,3,7,30
STU0046,Digital Media Production,ME,6,1,5,16.666666666666664
STU0046,Digital Media Production,EB,0,0,0,0
STU0046,Digital Media Production,CR,5,2,3,40
STU0046,Digital Media Production,FE,5,0,5,0
STU0046,Digital Media Production,MFU,0,0,0,0
STU0046,Digital Media Production,EFU,0,0,0,0
STU0017,Public relations & Advertising,GE,14,13,1,92.85714285714286
STU0017,Public relations & Advertising,MR,10,6,4,60
STU0017,Public relations & Advertising,ME,6,5,1,83.33333333333334
STU0017,Public relations & Advertising,EB,0,0,0,0
STU0017,Public relations & Advertising,CR,5,3,2,60
STU0017,Public relations & Advertising,FE,5,0,5,0
STU0017,Public relations & Advertising,MFU,0,2,0,100
STU0017,Public relations & Advertising,EFU,0,1,0,100
STU0019,Public relations & Advertising,GE,14,7,7,50
STU0019,Public relations & Advertising,MR,10,3,7,30
STU0019,Public relations & Advertising,ME,6,2,4,33.33333333333333
STU0019,Public relations & Advertising,EB,0,0,0,0
STU0019,Public relations & Advertising,CR,5,1,4,20
STU0019,Public relations & Advertising,FE,5,0,5,0
STU0019,Public relations & Advertising,MFU,0,2,0,100
STU0019,Public relations & Advertising,EFU,0,0,0,0
STU0021,Public relations & Advertising,GE,14,15,0,100
STU0021,Public relations & Advertising,MR,10,7,3,70
STU0021,Public relations & Advertising,ME,6,7,0,100
STU0021,Public relations & Advertising,EB,0,0,0,0
STU0021,Public relations & Advertising,CR,5,2,3,40
STU0021,Public relations & Advertising,FE,5,0,5,0
STU0021,Public relations & Advertising,MFU,0,2,0,100
STU0021,Public relations & Advertising,EFU,0,0,0,0
STU0010,Visual Communication,GE,14,13,1,92.85714285714286
STU0010,Visual Communication,MR,10,6,4,60
STU0010,Visual Communication,ME,6,3,3,50
STU0010,Visual Communication,EB,0,0,0,0
STU0010,Visual Communication,CR,5,1,4,20
STU0010,Visual Communication,FE,5,0,5,0
STU0010,Visual Communication,MFU,0,2,0,100
STU0010,Visual Communication,EFU,0,0,0,0
STU0037,Visual Communication,GE,14,13,1,92.85714285714286
STU0037,Visual Communication,MR,10,1,9,10
STU0037,Visual Communication,ME,6,2,4,33.33333333333333
STU0037,Visual Communication,EB,0,0,0,0
STU0037,Visual Communication,CR,5,1,4,20
STU0037,Visual Communication,FE,5,0,5,0
STU0037,Visual Communication,MFU,0,2,0,100
STU0037,Visual Communication,EFU,0,1,0,100
STU0040,Visual Communication,GE,14,12,2,85.71428571428571
STU0040,Visual Communication,MR,10,4,6,40
STU0040,Visual Communication,ME,6,5,1,83.33333333333334
STU0040,Visual Communication,EB,0,0,0,0
STU0040,Visual Communication,CR,5,4,1,80
STU0040,Visual Communication,FE,5,0,5,0
STU0040,Visual Communication,MFU,0,1,0,100
STU0040,Visual Communication,EFU,0,1,0,100
STU0013,Management Information Systems,GE,14,11,3,78.57142857142857
STU0013,Management Information Systems,MR,7,2,5,28.57142857142857
STU0013,Management Information Systems,ME,5,1,4,20
STU0013,Management Information Systems,EB,0,0,0,0
STU0013,Management Information Systems,CR,11,3,8,27.27272727272727
STU0013,Management Information Systems,FE,3,0,3,0
STU0013,Management Information Systems,MFU,0,2,0,100
STU0013,Management Information Systems,EFU,0,1,0,100
STU0016,Management Information Systems,GE,14,10,4,71.42857142857143
STU0016,Management Information Systems,MR,7,0,7,0
STU0016,Management Information Systems,ME,5,0,5,0
STU0016,Management Information Systems,EB,0,0,0,0
STU0016,Management Information Systems,CR,11,4,7,36.36363636363637
STU0016,Management Information Systems,FE,3,0,3,0
STU0016,Management Information Systems,MFU,0,2,0,100
STU0016,Management Information Systems,EFU,0,1,0,100
STU0014,Management Information Systems,GE,14,14,0,100
STU0014,Management Information Systems,MR,7,6,1,85.71428571428571
STU0014,Management Information Systems,ME,5,3,2,60
STU0014,Management Information Systems,EB,0,0,0,0
STU0014,Management Information Systems,CR,11,5,6,45.45454545454545
STU0014,Management Information Systems,FE,3,0,3,0
STU0014,Management Information Systems,MFU,0,2,0,100
STU0014,Management Information Systems,EFU,0,1,0,100
STU0011,Marketing,GE,14,15,0,100
STU0011,Marketing,MR,7,3,4,42.857142857142854
STU0011,Marketing,ME,5,0,5,0
STU0011,Marketing,EB,0,0,0,0
STU0011,Marketing,CR,11,8,3,72.72727272727273
STU0011,Marketing,FE,3,0,3,0
STU0011,Marketing,MFU,0,2,0,100
STU0011,Marketing,EFU,0,1,0,100
STU0022,Marketing,GE,14,16,0,100
STU0022,Marketing,MR,7,5,2,71.42857142857143
STU0022,Marketing,ME,5,5,0,100
STU0022,Marketing,EB,0,0,0,0
STU0022,Marketing,CR,11,6,5,54.54545454545454
STU0022,Marketing,FE,3,0,3,0
STU0022,Marketing,MFU,0,2,0,100
STU0022,Marketing,EFU,0,1,0,100
STU0012,Marketing,GE,14,11,3,78.57142857142857
STU0012,Marketing,MR,7,0,7,0
STU0012,Marketing,ME,5,0,5,0
STU0012,Marketing,EB,0,0,0,0
STU0012,Marketing,CR,11,3,8,27.27272727272727
STU0012,Marketing,FE,3,0,3,0
STU0012,Marketing,MFU,0,0,0,0
STU0012,Marketing,EFU,0,0,0,0
