Semester,AcademicCareer,College,Department,CourseSubject,CourseCode,CourseID,ClassSection,CourseDescription,CourseLongDescription,ActualEnrolment,ActualWaiting,EnrolmentCapacity,FacultyName,FacilityID,FromTime,ToTime,DurationInMinutes,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
2501,UGRD,CBA,Dept of Accounting,ACCT,313,ACCT313,82,Accounting Information Systems,This course is designed to provide students with an understanding of how information systems are used in accounting and how they can be used to support decision-making in organizations. The course also incorporates a practical component using an integrated accounting software package.,5,0,20,Ahmed Abdelaziz Hassanein,W3-201,15:30:00,16:50:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,408,ACCT408,81,International Financial Report,"International Financial Reporting Standards (IFRS) are standards issued by the International Accounting Standards Board (IASB) that state how particular types of transactions and other events should be reported in the financial statements. IFRSs are required for all listed companies, financial institutions, and other companies that fall under the purview of the Kuwait Commercial Companies Law.

Topics covered in this course include the conceptual framework of the IASB, the presentation of financial statements, financial disclosure, ethical implications for accountants, income and asset value measurement accounting for price-level changes, revenue recognition and construction contracts, borrowing costs, share capital, distributable profits and reduction of capital, agriculture, government grants, extractive industries, investment properties, earnings per share. Digital reporting corporate governance, sustainability, environmental and social Index, Interim and segment reporting, and taxation in company accounts.",20,0,20,Khalil Mohammad Nimer,N5-102,11:00:00,11:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,498,ACCT498,81,Capstone in Accounting,"This course guides the student in dealing with a variety of accounting-related topics including financial accounting and business consulting, management accounting practices, financial statement analysis, and forensic accounting. The course requires students to confront and resolve techniques acquired in previous courses. It is focused on the application of the concepts, techniques, and methodologies learned in different courses at different levels with a varied degree of practical aspects. This course provides the opportunity to students to demonstrate their understanding and knowledge applied to real cases drawn from the Kuwaiti business environment. This capstone course offers you the opportunity to apply your academic experience to conduct an experiential learning project in a designated field and apply them in a practical manner. You work in teams where you will read a case to analyze an existing business or engage in a business simulation. This experience will allow you to gain a better understanding of everything you have learned through hands-on experience so that you can be better prepared for the workforce.",20,0,20,Khalil Mohammad Nimer,N4-101,11:00:00,12:20:00,80,N,Y,N,Y,N,N,N
2501,GRAD,CBA,Dept of Accounting,ACCT,500,ACCT500,81,Financial and Managerial Accou,"This course provides an introduction to accounting, with emphasis on preparation of financial statements for external parties (financial accounting) and accumulation of cost information to aid internal planning and control (managerial accounting). Topics covered include measurement of assets and liabilities, revenues and expenses, the accounting cycle, financial statements, financial statement analysis, cost terminology, product costing, cost behavior, cost-volume-profit analysis and capital investment decisions.",5,0,20,Naser Marwan Abu Ghazaleh,N5-001,17:00:00,19:50:00,170,N,Y,N,N,N,N,N
2501,UGRD,CAS,Dept of Math & Natural Science,CHEM,110,CHEM110,87,General Chemistry I,"Discover atomic structure and stoichiometry, the reactions in aqueous solutions, thermochemistry and quantum theory, the electrons configuration, chemical bonding, molecular geometry, intermolecular forces, gases, and physical properties of solutions.",0,0,20,Noorullah Baig Mohammad,N5-204,09:30:00,10:50:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CAS,Dept of Math & Natural Science,CHEM,110,CHEM110,88,General Chemistry I,"Discover atomic structure and stoichiometry, the reactions in aqueous solutions, thermochemistry and quantum theory, the electrons configuration, chemical bonding, molecular geometry, intermolecular forces, gases, and physical properties of solutions.",2,0,20,Noorullah Baig Mohammad,N3-102,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CAS,Dept of Math & Natural Science,CHEM,110L,CHEM110L,81,General Chemistry I Laboratory,The Basic Chemistry Principles Laboratory course will focus on introducing qualitative and quantitative analyses and will enhance the student's technical skills.,1,0,20,Suchetha Sukesh Shetty,W3-001,14:00:00,15:50:00,110,N,N,N,N,Y,N,N
2501,UGRD,CAS,Dept of Math & Natural Science,CHEM,110L,CHEM110L,82,General Chemistry I Laboratory,The Basic Chemistry Principles Laboratory course will focus on introducing qualitative and quantitative analyses and will enhance the student's technical skills.,1,0,20,Suchetha Sukesh Shetty,W3-001,15:30:00,16:50:00,80,N,N,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,84,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",0,0,20,Mahmoud Daoud Nassar,N5-003,15:00:00,15:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,302,ACCT302,82,Intermediate Accounting II,"This course is the second in a three-course sequence of Intermediate Accounting. Theory, concepts and applications involving the process of identifying, measuring, recording and reporting financial information are stressed. The course provides  a comprehensive review of the accounting process involving the acquisition and disposition of property, plant, and equipment, the disposition and the impairment of intangible assets, special problems related to current liabilities and contingencies, accounting for bonds transactions, accounting for leases, and accounting for pensions and postretirement benefits.",14,0,20,Khalil Mohammad Nimer,N5-004,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,302,ACCT302,83,Intermediate Accounting II,"This course is the second in a three-course sequence of Intermediate Accounting. Theory, concepts and applications involving the process of identifying, measuring, recording and reporting financial information are stressed. The course provides  a comprehensive review of the accounting process involving the acquisition and disposition of property, plant, and equipment, the disposition and the impairment of intangible assets, special problems related to current liabilities and contingencies, accounting for bonds transactions, accounting for leases, and accounting for pensions and postretirement benefits.",0,0,20,Wasim K AlShattarat,N4-004,17:00:00,18:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,303,ACCT303,81,Intermediate Accounting III,"This course is the third in a three course sequence of Intermediate Accounting. The course presents general financial theory and practice mostly related to the equity section of the balance sheet. The course provides a comprehensive review of the stockholder's equity, earning per share, measurement of enterprise income, accounting changes and error corrections, statement of cash flows, and presentation and disclosure in financial reporting.",1,0,20,Mai S Shuaib,N5-101,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,303,ACCT303,83,Intermediate Accounting III,"This course is the third in a three course sequence of Intermediate Accounting. The course presents general financial theory and practice mostly related to the equity section of the balance sheet. The course provides a comprehensive review of the stockholder's equity, earning per share, measurement of enterprise income, accounting changes and error corrections, statement of cash flows, and presentation and disclosure in financial reporting.",0,0,20,Khalil Mohammad Nimer,N5-204,16:00:00,16:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,305,ACCT305,82,Accounting For Islamic Financi,"This course discusses various technical aspects related to the business activities of the Islamic Financial Institutions including Islamic Banks, Islamic Investment Companies, Islamic Investment Funds, Takaful Insurance Companies. These aspects include regulations and technical processes, how these institutions are managing their assets and liabilities, how to read financial statements and how they treat risk within the context of the share’ah rulings. The course also provides an overview of financial accounting within the framework of Islamic thought. It will cover financial accounting in Islamic institutions with an emphasis on the additional financial reporting required of Islamic banks and financial institutions.",11,0,20,Ahmed Abdelaziz Hassanein,N4-104,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,311,ACCT311,81,Cost Accounting,"The course is designed to provide in great depth and detail the important aspects of cost accounting. It introduces the concepts, techniques and analytical procedures necessary for the generation of cost information and its uses in planning, control and decision-making. Main topics include: a study of cost terms, concepts, and classifications, job-costing systems, process-costing systems, and activity based costing, cost behavior: analysis and use, variable costing vs. absorption costing, flexible budgets and overhead analysis, and the allocation process of support departments and joint cost.",20,0,20,Rasha Mohammed AlLusi,N4-104,10:00:00,10:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,401,ACCT401,81,Advanced Accounting I,"This course consists of an in-depth examination of the accounting for and financial reporting of business combinations. The primary goals of this course are to develop technical competence in accounting for business combinations and to develop your ability to understand the logic of the International Financial Standards related to business combinations so that you can assess the relative merit of competing accounting methods and theories. Following a comprehensive examination of M&A related topics, we will discuss the recording of foreign currency transactions and the translation of financial statements using both the temporal and closing rate method.",20,0,20,Naser Marwan Abu Ghazaleh,W5-103,09:00:00,09:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,401,ACCT401,82,Advanced Accounting I,"This course consists of an in-depth examination of the accounting for and financial reporting of business combinations. The primary goals of this course are to develop technical competence in accounting for business combinations and to develop your ability to understand the logic of the International Financial Standards related to business combinations so that you can assess the relative merit of competing accounting methods and theories. Following a comprehensive examination of M&A related topics, we will discuss the recording of foreign currency transactions and the translation of financial statements using both the temporal and closing rate method.",20,0,20,Naser Marwan Abu Ghazaleh,W4-101,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,409,ACCT409,81,Financial Reporting & Analysis,"This course is an introduction to analyzing financial statements.  It provides in-depth coverage of accounting analysis of financial activities and reporting. The course emphasizes the analysis and interpretation of the end result of financial reporting-financial statements. This course covers current practices in corporate financial reporting and fundamental issues relating to asset valuation and income determination. Topics covered in this course are mostly the financial statement analysis and interpretation of financial disclosures to help improve risk assessment, forecasting, and decision making.",20,0,20,Ahmed Abdelaziz Hassanein,W5-003,13:00:00,13:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,410,ACCT410,81,International Accounting & Mul,"This course is to help students to deal with the accounting issues unique to multinational corporations, especially with respect to foreign operations, and also acquire basic knowledge about the various functional areas of accounting in many countries of the world. In the course, students will learn the different features of the world's major accounting systems, and develop the skills to use accounting information from foreign sources to make various economic decisions in multinational companies.",5,0,20,Mohammed   Hossain,N5-204,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,415,ACCT415,81,Corporate Governance & Control,"This course explains the role of governance in managing companies and how corporate governance theories contribute to business development. The course also explores the pillars and elements of corporate governance and how they involve all stakeholders and control managerial and financial activities. In addition, the course analyzes the characteristics of an effective board of directors and how they enhance the value of the firm.",18,0,20,Mohieddin Salem Grada,N4-103,13:00:00,13:50:00,50,Y,N,Y,N,Y,N,N
2501,GRAD,CBA,Dept of Accounting,ACCT,500,ACCT500,82,Financial and Managerial Accou,"This course provides an introduction to accounting, with emphasis on preparation of financial statements for external parties (financial accounting) and accumulation of cost information to aid internal planning and control (managerial accounting). Topics covered include measurement of assets and liabilities, revenues and expenses, the accounting cycle, financial statements, financial statement analysis, cost terminology, product costing, cost behavior, cost-volume-profit analysis and capital investment decisions.",0,0,20,Ahmed Abdelaziz Hassanein,N4-001,17:00:00,19:50:00,170,N,N,Y,N,N,N,N
2501,UGRD,CAS,Dept of Humanities & Soc Sci,ARAB,231,ARAB231,81,Readings in Politics of Kuwait,"Explores the key concepts of Kuwaiti political discourses, its development and its way of dealing with local, regional and international events. The course considers the democratic experience in Kuwait and analyzes its constitution. The course will focus on reading, analyzing and critically commenting on political speeches and the local press.",20,0,20,Abdulmohsen Yousef Jamal,N4-201,14:00:00,14:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CAS,Dept of Math & Natural Science,BIOL,103,BIOL103,81,Environmental Biology,Examines the organization of natural ecosystem as it relates to the human community. Basic ecological principles are applied to current environmental issues. Among the topics to be examined are past and present uses and abuses of natural resources; environmental ethics and public policy; global environmental problems; human population growth; pollution; waste disposal; habitat loss; species extinction; and strategies for attaining a sustainable earth;,5,0,20,Rawan W Eid,W5-102,10:00:00,10:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Business Admin.,CBA,440,CBA440,84,Practicum in Business & MIS,"This course reinforces key enterprising concepts by providing an opportunity to apply knowledge in a practical setting desgined to match launch of a new startup business. In particular, students work in teams and are mentored through Face to face and online interactive sessions on the following journey: Design Thinking and Idea Generation, Entrepreneurship and Small Business Management, Digital Marketing, and Financial in Planning. The output of Practicum is well-developed business ideas that the students pitch in front of a jury.",25,0,25,Michel George Zaitouni,N3-101B,11:00:00,12:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Business Admin.,CBA,440,CBA440,85,Practicum in Business & MIS,"This course reinforces key enterprising concepts by providing an opportunity to apply knowledge in a practical setting desgined to match launch of a new startup business. In particular, students work in teams and are mentored through Face to face and online interactive sessions on the following journey: Design Thinking and Idea Generation, Entrepreneurship and Small Business Management, Digital Marketing, and Financial in Planning. The output of Practicum is well-developed business ideas that the students pitch in front of a jury.",25,0,25,Michel George Zaitouni,N3-101B,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Business Admin.,CBA,440,CBA440,86,Practicum in Business & MIS,"This course reinforces key enterprising concepts by providing an opportunity to apply knowledge in a practical setting desgined to match launch of a new startup business. In particular, students work in teams and are mentored through Face to face and online interactive sessions on the following journey: Design Thinking and Idea Generation, Entrepreneurship and Small Business Management, Digital Marketing, and Financial in Planning. The output of Practicum is well-developed business ideas that the students pitch in front of a jury.",22,0,25,Michel George Zaitouni,N3-101B,15:30:00,16:50:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,81,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",6,0,20,Fatemah A ALBader,N5-103,11:00:00,12:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,82,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",12,0,20,Naser Marwan Abu Ghazaleh,W4-101,13:00:00,13:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,83,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",2,0,20,Mai S Shuaib,N5-001,10:00:00,10:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,85,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",1,0,20,Mai S Shuaib,N4-002,11:00:00,11:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,87,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",7,0,20,Mohieddin Salem Grada,N4-102,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,89,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",0,0,20,Fatemah A ALBader,N5-104,14:00:00,14:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,82,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",11,0,20,Rasha Mohammed AlLusi,W4-101,09:00:00,09:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,84,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",8,0,20,Mai S Shuaib,N4-003,14:00:00,14:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,85,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",4,0,20,Mohammed   Hossain,N3-101A,08:00:00,09:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,302,ACCT302,81,Intermediate Accounting II,"This course is the second in a three-course sequence of Intermediate Accounting. Theory, concepts and applications involving the process of identifying, measuring, recording and reporting financial information are stressed. The course provides  a comprehensive review of the accounting process involving the acquisition and disposition of property, plant, and equipment, the disposition and the impairment of intangible assets, special problems related to current liabilities and contingencies, accounting for bonds transactions, accounting for leases, and accounting for pensions and postretirement benefits.",0,0,20,Khalil Mohammad Nimer,N6-304,15:00:00,15:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,305,ACCT305,81,Accounting For Islamic Financi,"This course discusses various technical aspects related to the business activities of the Islamic Financial Institutions including Islamic Banks, Islamic Investment Companies, Islamic Investment Funds, Takaful Insurance Companies. These aspects include regulations and technical processes, how these institutions are managing their assets and liabilities, how to read financial statements and how they treat risk within the context of the share’ah rulings. The course also provides an overview of financial accounting within the framework of Islamic thought. It will cover financial accounting in Islamic institutions with an emphasis on the additional financial reporting required of Islamic banks and financial institutions.",16,0,20,Ahmed Abdelaziz Hassanein,W5-203,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,315,ACCT315,81,Acct for Govt & not for Profit,"The course emphasizes the accounting principles, financial reporting and auditing requirements for government units and not-for profit entities. Topics include the accounting cycle, budgeting and fund accounting, and accounting for state and local governments, colleges and universities, and not-for-profit organizations. This course includes an emphasis on unstructured case problem solving skills, communication skills, and interpersonal skills.",5,0,20,Mohammed   Hossain,N6-304,16:00:00,16:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,315,ACCT315,82,Acct for Govt & not for Profit,"The course emphasizes the accounting principles, financial reporting and auditing requirements for government units and not-for profit entities. Topics include the accounting cycle, budgeting and fund accounting, and accounting for state and local governments, colleges and universities, and not-for-profit organizations. This course includes an emphasis on unstructured case problem solving skills, communication skills, and interpersonal skills.",0,0,20,Mohammed   Hossain,N5-205,15:00:00,15:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,341,ACCT341,81,Income Taxes,"This course introduces beginning tax students to the US Federal tax law and equips them with the practical intricacies involved in the preparation of individual tax forms and tax returns. It provides students with the opportunity to understand the principles behind tax law while they learn how to work with clients to obtain the information, they will need to complete tax forms. The course introduces students to the tax accounting concepts and practical implications of gross income inclusions and exclusions, adjusted gross income determination, deductions, losses and exclusions, tax credits, and payroll taxes as they pertain to individuals. In addition, this course covers the principles and practices of business income taxation and accounting for income tax, focusing on the preparation and implications of tax returns for businesses. Additionally, the course introduces corporate income tax in Kuwait.",16,0,20,Rasha Mohammed AlLusi,N3-101B,09:30:00,10:50:00,80,N,Y,N,Y,N,N,N
2501,GRAD,CBA,Dept of Accounting,ACCT,504,ACCT504,81,Auditing and Assurance,"The course is designed to provide in great depth and detail understanding of generally accepted auditing and assurance standards and procedures followed in the examination of financial statements and operating control reviews. Topics include evaluation and analysis of internal control and control risk, nature of and procedures for gathering audit evidence, audit planning and audit program, analytical procedures, fraud auditing, audit sampling for tests of controls and substantive test of transactions, and audit sampling for tests of details of balances.",20,0,20,Wasim K AlShattarat,N4-001,17:00:00,19:50:00,170,N,N,N,N,Y,N,N
2501,GRAD,CBA,Dept of Accounting,ACCT,595,ACCT595,81,Corporate Governance,Corporate Governance,20,0,20,Khalil Mohammad Nimer,N4-201,17:00:00,19:50:00,170,N,Y,N,N,N,N,N
2501,UGRD,CAS,Dept of Humanities & Soc Sci,ARAB,101,ARAB101,81,Reading in Arabic Literature,"Analyzes selected texts from Arabic literary tradition, starting from the pre-Islamic period up to the contemporary era. It consists of both poetry and prose texts. The analysis focuses on the aesthetic characteristics of the selected texts and the critical methods used in reading and analyzing these texts.",21,0,20,Ayman Ismail Sayed Bakr,N6-204,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CAS,Dept of Humanities & Soc Sci,ARAB,211,ARAB211,81,"Arabic Heritage: culture, soci","Focuses on three major fields within the Arabic heritage: Culture, Society and Literature. The course studies the structures and characteristics of the Arabic societies, from the pre-Islamic society to present. For the early epochs, Cultural Encyclopedias, written during the Arabic medieval are used. For the modern era, the course focuses on studies in cultural studies and sociology, The course discusses the main genres of Arabic literature and their characteristics.",6,0,20,Ayman Ismail Sayed Bakr,N5-205,15:30:00,16:50:00,80,N,Y,N,Y,N,N,N
